Tgl. Mohon,count,cumulative_sum
2022-01-12,3,978
2022-01-13,3,981
2022-01-14,3,984
2022-01-19,6,990
2022-01-20,4,994
2022-01-21,2,996
2022-01-22,3,999
2022-01-24,6,1005
2022-01-25,2,1007
2022-01-26,8,1015
2022-01-27,5,1020
2022-01-29,1,1021
2022-02-02,1,1022
2022-02-03,4,1026
2022-02-04,2,1028
2022-02-05,5,1033
2022-02-07,5,1038
2022-02-08,1,1039
2022-02-09,5,1044
2022-02-10,3,1047
2022-02-11,5,1052
2022-02-12,2,1054
2022-02-14,1,1055
2022-02-15,1,1056
2022-02-16,3,1059
2022-02-17,5,1064
2022-02-18,2,1066
2022-02-19,2,1068
2022-02-21,2,1070
2022-02-22,2,1072
2022-02-23,8,1080
2022-02-24,2,1082
2022-02-25,4,1086
2022-02-26,4,1090
2022-02-27,3,1093
2022-02-28,3,1096
2022-03-01,1,1097
2022-03-02,3,1100
2022-03-04,6,1106
2022-03-05,5,1111
2022-03-07,3,1114
2022-03-08,5,1119
2022-03-09,6,1125
2022-03-10,7,1132
2022-03-11,5,1137
2022-03-12,6,1143
2022-03-14,4,1147
2022-03-15,8,1155
2022-03-17,1,1156
2022-03-18,3,1159
2022-03-19,7,1166
2022-03-20,1,1167
2022-03-22,2,1169
2022-03-23,1,1170
2022-03-24,2,1172
2022-03-25,8,1180
2022-03-26,3,1183
2022-03-28,4,1187
2022-03-29,1,1188
2022-03-31,8,1196
2022-04-02,1,1197
2022-04-04,4,1201
2022-04-05,8,1209
2022-04-06,7,1216
2022-04-07,4,1220
2022-04-08,11,1231
2022-04-09,13,1244
2022-04-10,3,1247
2022-04-11,8,1255
2022-04-12,3,1258
2022-04-13,3,1261
2022-04-14,5,1266
2022-04-16,7,1273
2022-04-17,2,1275
2022-04-18,8,1283
2022-04-19,9,1292
2022-04-20,7,1299
2022-04-21,14,1313
2022-04-22,3,1316
2022-04-23,5,1321
2022-04-25,3,1324
2022-04-26,3,1327
2022-04-27,10,1337
2022-04-28,8,1345
2022-04-29,7,1352
2022-04-30,5,1357
2022-05-06,1,1358
2022-05-10,2,1360
2022-05-11,9,1369
2022-05-12,7,1376
2022-05-13,9,1385
2022-05-14,5,1390
2022-05-17,3,1393
2022-05-18,2,1395
2022-05-19,1,1396
2022-05-20,1,1397
2022-05-24,4,1401
2022-05-25,5,1406
2022-05-26,2,1408
2022-05-27,2,1410
2022-05-28,1,1411
2022-05-31,4,1415
2022-06-02,2,1417
2022-06-03,2,1419
2022-06-04,8,1427
2022-06-06,4,1431
2022-06-07,3,1434
2022-06-08,1,1435
2022-06-09,3,1438
2022-06-10,3,1441
2022-06-11,2,1443
2022-06-13,4,1447
2022-06-14,4,1451
2022-06-15,2,1453
2022-06-17,3,1456
2022-06-18,4,1460
2022-06-20,3,1463
2022-06-21,2,1465
2022-06-22,3,1468
2022-06-23,2,1470
2022-06-24,5,1475
2022-06-25,1,1476
2022-06-27,1,1477
2022-06-28,2,1479
2022-06-29,3,1482
2022-06-30,8,1490
2022-07-01,1,1491
2022-07-02,1,1492
2022-07-04,3,1495
2022-07-05,4,1499
2022-07-07,2,1501
2022-07-08,6,1507
2022-07-09,2,1509
2022-07-11,8,1517
2022-07-12,2,1519
2022-07-13,2,1521
2022-07-14,4,1525
2022-07-15,7,1532
2022-07-16,5,1537
2022-07-19,5,1542
2022-07-20,2,1544
2022-07-26,2,1546
2022-07-27,5,1551
2022-07-28,7,1558
2022-07-29,3,1561
2022-07-30,1,1562
2022-07-31,2,1564
2022-08-03,5,1569
2022-08-04,2,1571
2022-08-05,2,1573
2022-08-06,2,1575
2022-08-08,4,1579
2022-08-10,2,1581
2022-08-11,4,1585
2022-08-12,6,1591
2022-08-16,10,1601
2022-08-17,10,1611
2022-08-18,6,1617
2022-08-19,10,1627
2022-08-20,5,1632
2022-08-22,3,1635
2022-08-24,3,1638
2022-08-25,7,1645
2022-08-26,5,1650
2022-08-27,3,1653
2022-08-29,2,1655
2022-08-30,1,1656
2022-08-31,13,1669
2022-09-02,5,1674
2022-09-03,9,1683
2022-09-04,9,1692
2022-09-05,1,1693
2022-09-06,1,1694
2022-09-07,5,1699
2022-09-08,8,1707
2022-09-09,3,1710
2022-09-10,5,1715
2022-09-11,5,1720
2022-09-12,5,1725
2022-09-13,8,1733
2022-09-14,8,1741
2022-09-15,4,1745
2022-09-16,2,1747
2022-09-17,11,1758
2022-09-18,5,1763
2022-09-19,9,1772
2022-09-20,11,1783
2022-09-21,6,1789
2022-09-22,7,1796
2022-09-23,7,1803
2022-09-24,5,1808
2022-09-25,3,1811
2022-09-26,3,1814
2022-09-27,8,1822
2022-09-28,2,1824
2022-09-29,5,1829
2022-09-30,5,1834
2022-10-01,5,1839
2022-10-04,2,1841
2022-10-05,8,1849
2022-10-06,5,1854
2022-10-07,12,1866
2022-10-08,4,1870
2022-10-12,3,1873
2022-10-13,4,1877
2022-10-14,3,1880
2022-10-15,10,1890
2022-10-16,7,1897
2022-10-19,8,1905
2022-10-20,9,1914
2022-10-21,6,1920
2022-10-22,5,1925
2022-10-23,12,1937
2022-10-24,3,1940
2022-10-25,2,1942
2022-10-26,3,1945
2022-10-27,10,1955
2022-10-28,6,1961
2022-10-31,4,1965
2022-11-01,1,1966
2022-11-02,2,1968
2022-11-03,7,1975
2022-11-04,8,1983
2022-11-05,3,1986
2022-11-06,4,1990
2022-11-08,2,1992
2022-11-09,5,1997
2022-11-10,3,2000
2022-11-11,5,2005
2022-11-12,9,2014
2022-11-13,10,2024
2022-11-14,3,2027
2022-11-15,3,2030
2022-11-16,5,2035
2022-11-17,11,2046
2022-11-18,5,2051
2022-11-19,7,2058
2022-11-22,2,2060
2022-11-23,2,2062
2022-11-24,4,2066
2022-11-25,11,2077
2022-11-26,7,2084
2022-11-27,5,2089
2022-11-28,2,2091
2022-11-29,3,2094
2022-11-30,12,2106
2022-12-02,3,2109
2022-12-03,10,2119
2022-12-04,5,2124
2022-12-05,12,2136
2022-12-06,7,2143
2022-12-07,5,2148
2022-12-08,7,2155
2022-12-09,3,2158
2022-12-10,6,2164
2022-12-11,7,2171
2022-12-12,4,2175
2022-12-13,3,2178
2022-12-14,5,2183
2022-12-15,5,2188
2022-12-16,5,2193
2022-12-17,2,2195
2022-12-19,5,2200
2022-12-20,5,2205
2022-12-21,4,2209
2022-12-22,4,2213
2022-12-23,3,2216
2022-12-24,4,2220
2022-12-26,2,2222
2022-12-29,1,2223
2022-12-30,1,2224
2022-12-31,3,2227
2023-01-02,1,2228
2023-01-03,10,2238
2023-01-04,3,2241
2023-01-05,12,2253
2023-01-06,8,2261
2023-01-07,8,2269
2023-01-08,5,2274
2023-01-09,4,2278
2023-01-10,4,2282
2023-01-11,8,2290
2023-01-12,5,2295
2023-01-13,3,2298
2023-01-14,2,2300
2023-01-17,1,2301
2023-01-18,7,2308
2023-01-19,3,2311
2023-01-20,6,2317
2023-01-21,15,2332
2023-01-22,5,2337
2023-01-23,4,2341
2023-01-24,4,2345
2023-01-25,5,2350
2023-01-26,7,2357
2023-01-27,7,2364
2023-01-28,8,2372
2023-01-29,2,2374
2023-01-30,2,2376
2023-01-31,5,2381
2023-02-01,2,2383
2023-02-02,2,2385
2023-02-03,7,2392
2023-02-04,8,2400
2023-02-05,2,2402
2023-02-06,5,2407
2023-02-07,4,2411
2023-02-08,3,2414
2023-02-09,6,2420
2023-02-10,8,2428
2023-02-11,8,2436
2023-02-13,2,2438
2023-02-14,6,2444
2023-02-15,2,2446
2023-02-16,8,2454
2023-02-17,11,2465
2023-02-18,6,2471
2023-02-19,5,2476
2023-02-20,6,2482
2023-02-21,7,2489
2023-02-22,7,2496
2023-02-23,3,2499
2023-02-24,10,2509
2023-02-25,11,2520
2023-02-26,4,2524
2023-02-27,8,2532
2023-02-28,15,2547
2023-03-01,3,2550
2023-03-02,3,2553
2023-03-03,4,2557
2023-03-04,4,2561
2023-03-06,4,2565
2023-03-07,4,2569
2023-03-08,6,2575
2023-03-09,4,2579
2023-03-10,8,2587
2023-03-11,6,2593
2023-03-13,3,2596
2023-03-14,2,2598
2023-03-15,5,2603
2023-03-16,13,2616
2023-03-17,7,2623
2023-03-18,7,2630
2023-03-19,2,2632
2023-03-20,3,2635
