Year,Week,Total Sales,Kelurahan,Kecamatan,Gender,Pekerjaan,Pengeluaran,Pendidikan,Tipe Pembeli,Umur,0,1,2,3,4,5
2024,25,22,113.72727272727273,7.318181818181818,0.45454545454545453,10.272727272727273,3.772727272727273,3.8636363636363638,0.0,37.90909090909091,0,1,0,0,20,1
2024,26,54,109.31481481481481,5.62962962962963,0.37037037037037035,9.5,3.814814814814815,3.8703703703703702,0.0,35.05555555555556,1,3,0,0,39,11
2024,27,30,87.6,9.833333333333334,0.36666666666666664,8.466666666666667,3.9,3.933333333333333,0.0,30.6,0,3,0,0,20,7
2024,28,31,120.7741935483871,5.903225806451613,0.5806451612903226,7.548387096774194,4.290322580645161,3.806451612903226,0.03225806451612903,35.61290322580645,1,2,1,0,22,5
2024,29,45,102.08888888888889,6.222222222222222,0.6,6.955555555555556,3.888888888888889,3.577777777777778,0.0,42.46666666666667,0,2,0,1,26,16
2024,30,45,120.93333333333334,5.955555555555556,0.6,7.111111111111111,3.8222222222222224,3.7777777777777777,0.022222222222222223,38.333333333333336,0,4,0,0,20,21
2024,31,44,113.18181818181819,4.636363636363637,0.5,7.431818181818182,3.272727272727273,3.840909090909091,0.022727272727272728,38.36363636363637,0,1,0,0,23,20
2024,32,55,106.83636363636364,5.6909090909090905,0.45454545454545453,8.236363636363636,3.5636363636363635,3.8363636363636364,0.0,38.836363636363636,0,1,1,0,23,30
2024,33,38,99.76315789473684,4.7105263157894735,0.5263157894736842,7.552631578947368,3.1578947368421053,3.5526315789473686,0.0,36.71052631578947,0,0,0,0,19,19
2024,34,48,95.16666666666667,5.5625,0.5,8.270833333333334,3.1458333333333335,3.7708333333333335,0.0,37.1875,0,4,0,0,23,21
2024,35,53,131.47169811320754,7.132075471698113,0.6037735849056604,9.754716981132075,3.3962264150943398,4.018867924528302,0.09433962264150944,38.22641509433962,3,1,0,1,19,29
