"(p,q,P,Q)",AIC
"(9, 8, 0, 0)",200.09785141159577
"(7, 12, 0, 0)",200.10121365443007
"(12, 12, 0, 0)",200.51479724830645
"(5, 10, 0, 0)",200.6431791097926
"(6, 9, 0, 0)",200.66711176524393
"(10, 11, 0, 0)",200.9111374467431
"(11, 9, 0, 0)",201.02455600746677
"(3, 10, 0, 0)",201.65022717149452
"(9, 9, 0, 0)",201.65885515031837
"(7, 11, 0, 0)",201.88696934879962
"(5, 0, 0, 0)",202.42688224434346
"(8, 6, 0, 0)",202.56536655876812
"(6, 11, 0, 0)",202.77425193183805
"(11, 11, 0, 0)",202.84371271392138
"(6, 0, 0, 0)",203.50816918148263
"(7, 0, 0, 0)",203.81257300040753
"(11, 12, 0, 0)",204.02249260711687
"(4, 0, 0, 0)",204.4841713581207
"(8, 0, 0, 0)",205.22179326139866
"(9, 0, 0, 0)",207.20914887310875
"(11, 5, 0, 0)",209.1218707309473
"(3, 0, 0, 0)",213.9705000817237
"(2, 0, 0, 0)",218.76201935388718
"(1, 0, 0, 0)",226.3089161554623
"(0, 0, 0, 0)",251.0984194229797
