"(p,q,P,Q)",AIC
"(7, 10, 0, 0)",613.1353078254942
"(8, 11, 0, 0)",613.217941879202
"(7, 11, 0, 0)",613.4865775229473
"(9, 10, 0, 0)",613.8330271159822
"(8, 9, 0, 0)",614.4725098045491
"(10, 11, 0, 0)",615.0520016214501
"(12, 11, 0, 0)",615.0633996506921
"(9, 11, 0, 0)",615.8701547148906
"(10, 10, 0, 0)",616.5838935501832
"(10, 9, 0, 0)",617.9998750900118
"(10, 8, 0, 0)",619.6263902745575
"(11, 0, 0, 0)",621.9190903920314
"(12, 0, 0, 0)",622.8545492676742
"(6, 0, 0, 0)",623.0813665120802
"(7, 0, 0, 0)",624.1862366913929
"(8, 0, 0, 0)",624.5054240575573
"(5, 0, 0, 0)",624.662844800823
"(9, 0, 0, 0)",625.2258818278369
"(10, 0, 0, 0)",626.5725104254839
"(4, 0, 0, 0)",628.5237033126187
"(3, 0, 0, 0)",634.5332272878445
"(2, 0, 0, 0)",645.3412461068417
"(1, 0, 0, 0)",669.5288936245862
"(0, 0, 0, 0)",710.0824826812734
