"(p,q,P,Q)",AIC
"(0, 3, 0, 3)",4645.804539735513
"(0, 3, 2, 1)",4645.805162013597
"(3, 0, 0, 3)",4645.817544737614
"(3, 0, 2, 1)",4645.818181977613
"(1, 0, 2, 2)",4645.8766481063785
"(1, 0, 1, 3)",4645.879574312921
"(0, 2, 3, 3)",4645.884039720322
"(0, 3, 1, 2)",4645.88729380638
"(3, 0, 1, 2)",4645.910295281468
"(0, 2, 2, 2)",4645.965862118718
"(0, 2, 1, 3)",4645.965940270735
"(2, 0, 3, 3)",4645.971555676806
"(0, 1, 3, 3)",4646.0682801278435
"(2, 0, 2, 2)",4646.1017079805915
"(2, 0, 1, 3)",4646.101914929646
"(0, 1, 2, 2)",4646.135270760295
"(0, 1, 1, 3)",4646.138890229719
"(1, 1, 3, 3)",4646.27947876535
"(1, 1, 3, 1)",4646.382743085212
"(0, 0, 3, 1)",4646.456980771534
"(0, 0, 3, 3)",4646.829106989143
"(0, 0, 1, 3)",4646.831472689632
"(0, 0, 2, 2)",4646.832983576688
"(1, 1, 2, 2)",4646.960826544149
"(1, 1, 1, 3)",4646.962458539198
"(3, 1, 2, 3)",4647.089312055548
"(0, 3, 3, 1)",4647.299195087379
"(3, 0, 3, 1)",4647.308257694105
"(0, 3, 1, 3)",4647.8030437131
"(0, 3, 2, 2)",4647.803364611346
"(3, 0, 1, 3)",4647.815993196782
"(3, 0, 2, 2)",4647.8162170598425
"(1, 0, 3, 2)",4647.839246027341
"(0, 3, 3, 3)",4647.869268618972
"(3, 0, 3, 3)",4647.897670344224
"(0, 2, 3, 2)",4647.96105190614
"(2, 0, 3, 2)",4648.095656346395
"(0, 1, 3, 2)",4648.098250929118
"(1, 3, 2, 3)",4648.382354999889
"(0, 0, 3, 2)",4648.821564648189
"(1, 1, 3, 2)",4648.934487880881
"(1, 3, 3, 1)",4649.286533506036
"(0, 3, 3, 2)",4649.801304237668
"(3, 0, 3, 2)",4649.8143421321865
"(1, 3, 3, 3)",4649.865673756702
"(3, 1, 3, 3)",4649.896081302102
"(2, 3, 3, 2)",4653.844476550531
"(2, 3, 3, 0)",4718.838908382606
"(1, 2, 3, 0)",4726.275106390914
"(3, 2, 3, 0)",4728.933545578752
"(3, 1, 3, 0)",4761.101209215562
"(1, 0, 3, 0)",4764.685954493936
"(0, 1, 3, 0)",4764.7562130067145
"(0, 0, 3, 0)",4765.553700880013
"(0, 2, 3, 0)",4766.582899138618
"(2, 0, 3, 0)",4766.59099706346
"(1, 1, 3, 0)",4766.594942715289
"(0, 3, 3, 0)",4768.550910214835
"(3, 0, 3, 0)",4768.5722141823535
"(2, 1, 3, 0)",4768.595177777515
"(1, 3, 3, 0)",4770.553343458481
"(2, 2, 3, 0)",4770.5901926823135
"(3, 2, 2, 0)",4772.697479689923
"(2, 3, 2, 0)",4773.623253580292
"(3, 3, 3, 0)",4774.532289797646
"(1, 2, 2, 0)",4777.646889729724
"(3, 2, 1, 0)",4799.278735554792
"(1, 0, 2, 0)",4821.012422692149
"(0, 1, 2, 0)",4821.118430275788
"(0, 0, 2, 0)",4822.555250940499
"(1, 1, 2, 0)",4822.813344678239
"(2, 0, 2, 0)",4822.853085924307
"(0, 2, 2, 0)",4822.866518530685
"(2, 1, 2, 0)",4824.830368698876
"(3, 0, 2, 0)",4824.846273381307
"(0, 3, 2, 0)",4824.865337357585
"(2, 2, 2, 0)",4826.8114937143855
"(3, 1, 2, 0)",4826.848785031392
"(1, 3, 2, 0)",4826.864380109324
"(3, 3, 2, 0)",4830.8036765983215
"(1, 2, 1, 0)",4872.130024842775
"(0, 1, 1, 0)",4922.854708614323
"(0, 0, 1, 0)",4922.912346446814
"(1, 0, 1, 0)",4922.92428416578
"(1, 1, 1, 0)",4924.394313815787
"(0, 2, 1, 0)",4924.613234234948
"(2, 0, 1, 0)",4924.663923111197
"(2, 1, 1, 0)",4926.389932129233
"(0, 3, 1, 0)",4926.446263537583
"(3, 0, 1, 0)",4926.561623513027
"(3, 1, 1, 0)",4928.225178860496
"(2, 2, 1, 0)",4928.3925042637875
"(1, 3, 1, 0)",4928.453911773051
"(2, 3, 1, 0)",4930.319606634523
"(3, 3, 1, 0)",4932.320397211312
