Tgl. Mohon,count,cumulative_sum,rolling_7days,rolling_std_7d,rolling_count_7d,delta_count,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6000000000000001,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-27,0.0,0.0078125,0.1,0.0,0.16666666666666666,0.3333333333333333,0.0,0.4,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-28,0.0,0.015625,0.20000000000000004,0.0,0.33333333333333337,0.3333333333333333,0.0,0.6000000000000001,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-02-22,0.0,0.0234375,0.30000000000000004,0.0,0.5,0.3333333333333333,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-03-23,0.0,0.03125,0.4,0.0,0.6666666666666666,0.3333333333333333,0.1818181818181818,0.2,1.0,0.5,0.9009688679024191,0.8019377358048384
2021-04-12,0.0,0.0390625,0.5000000000000001,0.0,0.8333333333333334,0.3333333333333333,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2021-04-26,0.0,0.046875,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2021-05-17,0.0,0.0546875,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.36363636363636365,0.0,0.75,0.06698729810778065,0.5,1.0
2021-05-18,0.0,0.0625,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.36363636363636365,0.2,0.75,0.06698729810778065,0.9009688679024191,0.8019377358048384
2021-05-19,0.0,0.0703125,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.36363636363636365,0.4,0.75,0.06698729810778065,1.0,0.3568958678922095
2021-06-18,0.0,0.078125,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.4545454545454545,0.8,0.5000000000000001,0.0,0.27747906604368566,0.0
2021-06-24,0.0,0.0859375,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.4545454545454545,0.6000000000000001,0.5000000000000001,0.0,0.7225209339563144,5.551115123125783e-17
2021-07-09,0.0,0.09375,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.5454545454545454,0.8,0.2500000000000001,0.06698729810778059,0.27747906604368566,0.0
2021-08-13,0.0,0.1015625,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.6363636363636364,0.8,0.06698729810778076,0.24999999999999978,0.27747906604368566,0.0
2021-09-10,0.0,0.109375,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.7272727272727273,0.8,0.0,0.4999999999999999,0.27747906604368566,0.0
2021-09-13,0.0,0.1171875,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.7272727272727273,0.0,0.0,0.4999999999999999,0.5,1.0
2021-09-16,0.0,0.125,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.7272727272727273,0.6000000000000001,0.0,0.4999999999999999,0.7225209339563144,5.551115123125783e-17
2021-09-21,0.5,0.140625,0.7000000000000001,0.48038446141526137,0.9999999999999999,0.6666666666666666,0.7272727272727273,0.2,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2021-10-11,0.0,0.1484375,0.7000000000000001,0.48038446141526137,0.9999999999999999,0.0,0.8181818181818182,0.0,0.0669872981077807,0.75,0.5,1.0
2021-10-21,0.0,0.15625,0.7000000000000001,0.48038446141526137,0.9999999999999999,0.3333333333333333,0.8181818181818182,0.6000000000000001,0.0669872981077807,0.75,0.7225209339563144,5.551115123125783e-17
2021-11-17,0.0,0.1640625,0.7000000000000001,0.48038446141526137,0.9999999999999999,0.3333333333333333,0.9090909090909091,0.4,0.24999999999999978,0.9330127018922192,1.0,0.3568958678922095
2021-11-26,0.0,0.171875,0.7000000000000001,0.48038446141526137,0.9999999999999999,0.3333333333333333,0.9090909090909091,0.8,0.24999999999999978,0.9330127018922192,0.27747906604368566,0.0
2022-01-04,0.5,0.1875,0.8,0.6201736729460423,0.9999999999999999,0.6666666666666666,0.0,0.2,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2022-01-05,0.0,0.1953125,0.8,0.6201736729460423,0.9999999999999999,0.0,0.0,0.4,0.75,0.9330127018922194,1.0,0.3568958678922095
2022-01-07,0.0,0.203125,0.7000000000000001,0.4803844614152613,0.9999999999999999,0.3333333333333333,0.0,0.8,0.75,0.9330127018922194,0.27747906604368566,0.0
2022-01-10,0.0,0.2109375,0.7000000000000001,0.4803844614152613,0.9999999999999999,0.3333333333333333,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2022-01-12,0.0,0.21875,0.7000000000000001,0.4803844614152613,0.9999999999999999,0.3333333333333333,0.0,0.4,0.75,0.9330127018922194,1.0,0.3568958678922095
2022-01-18,0.0,0.2265625,0.7000000000000001,0.4803844614152613,0.9999999999999999,0.3333333333333333,0.0,0.2,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2022-02-10,0.0,0.234375,0.7000000000000001,0.4803844614152613,0.9999999999999999,0.3333333333333333,0.09090909090909091,0.6000000000000001,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2022-03-04,0.0,0.2421875,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.1818181818181818,0.8,1.0,0.5,0.27747906604368566,0.0
2022-03-07,0.0,0.25,0.6000000000000001,0.0,0.9999999999999999,0.3333333333333333,0.1818181818181818,0.0,1.0,0.5,0.5,1.0
