Tgl. Mohon,count,cumulative_sum,rolling_7days,rolling_count_7d,delta_count,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2022-07-26,0.0,0.0,0.0,0.0,0.625,0.5454545454545454,0.16666666666666666,0.2500000000000001,0.06698729810778059,0.9009688679024191,0.8019377358048384
2022-08-08,0.0,0.0034129692832764505,0.05555555555555555,0.16666666666666666,0.625,0.6363636363636364,0.0,0.06698729810778076,0.24999999999999978,0.5,1.0
2022-08-10,0.0,0.0068259385665529,0.1111111111111111,0.33333333333333337,0.625,0.6363636363636364,0.3333333333333333,0.06698729810778076,0.24999999999999978,1.0,0.3568958678922095
2022-09-19,0.0,0.010238907849829351,0.16666666666666666,0.5,0.625,0.7272727272727273,0.0,0.0,0.4999999999999999,0.5,1.0
2022-09-23,0.16666666666666666,0.017064846416382253,0.2777777777777778,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.0,0.4999999999999999,0.27747906604368566,0.0
2022-09-27,0.0,0.020477815699658706,0.33333333333333326,0.8333333333333334,0.5,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2022-09-29,0.0,0.023890784982935155,0.38888888888888884,0.9999999999999999,0.625,0.7272727272727273,0.5,0.0,0.4999999999999999,0.7225209339563144,5.551115123125783e-17
2022-10-14,0.5,0.03754266211604095,0.5555555555555555,0.9999999999999999,1.0,0.8181818181818182,0.6666666666666666,0.0669872981077807,0.75,0.27747906604368566,0.0
2022-10-16,0.16666666666666666,0.04436860068259386,0.611111111111111,0.9999999999999999,0.375,0.8181818181818182,1.0,0.0669872981077807,0.75,0.0990311320975808,0.8019377358048383
2022-10-21,0.0,0.0477815699658703,0.611111111111111,0.9999999999999999,0.5,0.8181818181818182,0.6666666666666666,0.0669872981077807,0.75,0.27747906604368566,0.0
2022-10-22,0.0,0.051194539249146756,0.611111111111111,0.9999999999999999,0.625,0.8181818181818182,0.8333333333333333,0.0669872981077807,0.75,0.0,0.3568958678922094
2022-10-26,0.0,0.05460750853242321,0.5555555555555555,0.9999999999999999,0.625,0.8181818181818182,0.3333333333333333,0.0669872981077807,0.75,1.0,0.3568958678922095
2022-10-28,0.0,0.058020477815699655,0.5555555555555555,0.9999999999999999,0.625,0.8181818181818182,0.6666666666666666,0.0669872981077807,0.75,0.27747906604368566,0.0
2022-10-30,0.0,0.061433447098976114,0.5555555555555555,0.9999999999999999,0.625,0.8181818181818182,1.0,0.0669872981077807,0.75,0.0990311320975808,0.8019377358048383
2022-11-02,0.0,0.06484641638225257,0.38888888888888884,0.9999999999999999,0.625,0.9090909090909091,0.3333333333333333,0.24999999999999978,0.9330127018922192,1.0,0.3568958678922095
2022-11-04,0.0,0.06825938566552901,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.6666666666666666,0.24999999999999978,0.9330127018922192,0.27747906604368566,0.0
2022-11-06,0.0,0.07167235494880547,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,1.0,0.24999999999999978,0.9330127018922192,0.0990311320975808,0.8019377358048383
2022-11-08,0.0,0.07508532423208192,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.16666666666666666,0.24999999999999978,0.9330127018922192,0.9009688679024191,0.8019377358048384
2022-11-10,0.0,0.07849829351535836,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.5,0.24999999999999978,0.9330127018922192,0.7225209339563144,5.551115123125783e-17
2022-11-11,0.0,0.08191126279863482,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.6666666666666666,0.24999999999999978,0.9330127018922192,0.27747906604368566,0.0
2022-11-12,0.0,0.08532423208191127,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.8333333333333333,0.24999999999999978,0.9330127018922192,0.0,0.3568958678922094
2022-11-14,0.0,0.08873720136518772,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.0,0.24999999999999978,0.9330127018922192,0.5,1.0
2022-11-15,0.5,0.10238907849829353,0.5,0.9999999999999999,1.0,0.9090909090909091,0.16666666666666666,0.24999999999999978,0.9330127018922192,0.9009688679024191,0.8019377358048384
2022-11-17,0.0,0.10580204778156997,0.5,0.9999999999999999,0.25,0.9090909090909091,0.5,0.24999999999999978,0.9330127018922192,0.7225209339563144,5.551115123125783e-17
2022-11-18,0.0,0.10921501706484642,0.5,0.9999999999999999,0.625,0.9090909090909091,0.6666666666666666,0.24999999999999978,0.9330127018922192,0.27747906604368566,0.0
2022-11-19,0.0,0.11262798634812288,0.5,0.9999999999999999,0.625,0.9090909090909091,0.8333333333333333,0.24999999999999978,0.9330127018922192,0.0,0.3568958678922094
2022-11-21,0.0,0.11604095563139932,0.5,0.9999999999999999,0.625,0.9090909090909091,0.0,0.24999999999999978,0.9330127018922192,0.5,1.0
2022-11-23,0.0,0.11945392491467577,0.5,0.9999999999999999,0.625,0.9090909090909091,0.3333333333333333,0.24999999999999978,0.9330127018922192,1.0,0.3568958678922095
2022-11-24,0.0,0.12286689419795221,0.5,0.9999999999999999,0.625,0.9090909090909091,0.5,0.24999999999999978,0.9330127018922192,0.7225209339563144,5.551115123125783e-17
2022-11-26,0.0,0.1262798634812287,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,0.8333333333333333,0.24999999999999978,0.9330127018922192,0.0,0.3568958678922094
2022-11-27,0.0,0.12969283276450513,0.33333333333333326,0.9999999999999999,0.625,0.9090909090909091,1.0,0.24999999999999978,0.9330127018922192,0.0990311320975808,0.8019377358048383
