Tgl. Mohon,count,cumulative_sum,delta_count,rolling_7days,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2021-01-04,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2021-01-06,0.5,0.025641025641025644,0.75,0.2727272727272727,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-07,0.0,0.03418803418803419,0.25,0.36363636363636365,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-14,0.0,0.042735042735042736,0.5,0.4545454545454545,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-21,0.0,0.051282051282051294,0.5,0.5454545454545454,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-02-01,0.0,0.05982905982905984,0.5,0.6363636363636364,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-02-11,0.0,0.06837606837606838,0.5,0.7272727272727273,0.09090909090909091,0.5,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2021-02-26,0.25,0.08547008547008549,0.625,0.8181818181818182,0.09090909090909091,0.6666666666666666,0.9330127018922193,0.75,0.27747906604368566,0.0
2021-02-27,0.0,0.09401709401709403,0.375,0.6363636363636364,0.09090909090909091,0.8333333333333333,0.9330127018922193,0.75,0.0,0.3568958678922094
2021-03-10,0.0,0.10256410256410257,0.5,0.6363636363636364,0.1818181818181818,0.3333333333333333,1.0,0.5,1.0,0.3568958678922095
2021-03-20,0.0,0.11111111111111113,0.5,0.6363636363636364,0.1818181818181818,0.8333333333333333,1.0,0.5,0.0,0.3568958678922094
2021-04-10,0.0,0.11965811965811968,0.5,0.6363636363636364,0.2727272727272727,0.8333333333333333,0.9330127018922194,0.2500000000000001,0.0,0.3568958678922094
2021-04-12,1.0,0.1623931623931624,1.0,0.9999999999999999,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2021-04-16,0.0,0.17094017094017097,0.0,0.9999999999999999,0.2727272727272727,0.6666666666666666,0.9330127018922194,0.2500000000000001,0.27747906604368566,0.0
2021-04-21,0.0,0.17948717948717952,0.5,0.9090909090909091,0.2727272727272727,0.3333333333333333,0.9330127018922194,0.2500000000000001,1.0,0.3568958678922095
2021-04-23,0.0,0.18803418803418806,0.5,0.9090909090909091,0.2727272727272727,0.6666666666666666,0.9330127018922194,0.2500000000000001,0.27747906604368566,0.0
2021-04-27,0.0,0.1965811965811966,0.5,0.9090909090909091,0.2727272727272727,0.16666666666666666,0.9330127018922194,0.2500000000000001,0.9009688679024191,0.8019377358048384
2021-05-03,0.0,0.20512820512820515,0.5,0.9090909090909091,0.36363636363636365,0.0,0.75,0.06698729810778065,0.5,1.0
2021-05-04,0.0,0.2136752136752137,0.5,0.9090909090909091,0.36363636363636365,0.16666666666666666,0.75,0.06698729810778065,0.9009688679024191,0.8019377358048384
2021-05-17,0.0,0.22222222222222224,0.5,0.5454545454545454,0.36363636363636365,0.0,0.75,0.06698729810778065,0.5,1.0
2021-06-18,0.0,0.2307692307692308,0.5,0.5454545454545454,0.4545454545454545,0.6666666666666666,0.5000000000000001,0.0,0.27747906604368566,0.0
2021-06-24,0.0,0.23931623931623935,0.5,0.5454545454545454,0.4545454545454545,0.5,0.5000000000000001,0.0,0.7225209339563144,5.551115123125783e-17
2021-06-29,0.0,0.2478632478632479,0.5,0.5454545454545454,0.4545454545454545,0.16666666666666666,0.5000000000000001,0.0,0.9009688679024191,0.8019377358048384
2021-07-09,0.0,0.2564102564102564,0.5,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.2500000000000001,0.06698729810778059,0.27747906604368566,0.0
2021-07-22,0.0,0.26495726495726496,0.5,0.5454545454545454,0.5454545454545454,0.5,0.2500000000000001,0.06698729810778059,0.7225209339563144,5.551115123125783e-17
2021-08-10,0.25,0.28205128205128205,0.625,0.6363636363636364,0.6363636363636364,0.16666666666666666,0.06698729810778076,0.24999999999999978,0.9009688679024191,0.8019377358048384
2021-08-14,0.25,0.29914529914529914,0.5,0.7272727272727273,0.6363636363636364,0.8333333333333333,0.06698729810778076,0.24999999999999978,0.0,0.3568958678922094
2021-08-18,0.0,0.3076923076923077,0.375,0.7272727272727273,0.6363636363636364,0.3333333333333333,0.06698729810778076,0.24999999999999978,1.0,0.3568958678922095
2021-08-25,0.0,0.3162393162393162,0.5,0.7272727272727273,0.6363636363636364,0.3333333333333333,0.06698729810778076,0.24999999999999978,1.0,0.3568958678922095
2021-08-27,0.0,0.3247863247863248,0.5,0.7272727272727273,0.6363636363636364,0.6666666666666666,0.06698729810778076,0.24999999999999978,0.27747906604368566,0.0
2021-08-28,0.0,0.3333333333333333,0.5,0.7272727272727273,0.6363636363636364,0.8333333333333333,0.06698729810778076,0.24999999999999978,0.0,0.3568958678922094
2021-08-30,0.0,0.3418803418803419,0.5,0.7272727272727273,0.6363636363636364,0.0,0.06698729810778076,0.24999999999999978,0.5,1.0
2021-09-08,0.25,0.358974358974359,0.625,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.0,0.4999999999999999,1.0,0.3568958678922095
2021-09-14,0.0,0.36752136752136755,0.375,0.6363636363636364,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2021-09-21,0.0,0.37606837606837606,0.5,0.6363636363636364,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
