Tgl. Mohon,count,cumulative_sum,delta_count,rolling_7days
2021-01-04,0.03225806451612903,0.0,0.5438596491228069,0.0
2021-01-06,0.06451612903225806,0.00980392156862745,0.5614035087719298,0.05172413793103449
2021-01-07,0.0,0.0130718954248366,0.5087719298245613,0.06896551724137931
2021-01-14,0.0,0.016339869281045753,0.5438596491228069,0.08620689655172413
2021-01-21,0.0,0.0196078431372549,0.5438596491228069,0.10344827586206896
2021-02-01,0.0,0.02287581699346405,0.5438596491228069,0.1206896551724138
2021-02-11,0.0,0.026143790849673203,0.5438596491228069,0.13793103448275862
2021-02-26,0.03225806451612903,0.032679738562091505,0.5614035087719298,0.13793103448275862
2021-02-27,0.0,0.03594771241830066,0.5263157894736841,0.10344827586206896
2021-03-10,0.0,0.03921568627450981,0.5438596491228069,0.10344827586206896
2021-03-12,0.7096774193548387,0.11437908496732026,0.9298245614035087,0.4827586206896552
2021-03-20,0.0,0.11764705882352941,0.1578947368421052,0.4827586206896552
2021-04-10,0.0,0.12091503267973855,0.5438596491228069,0.4827586206896552
2021-04-12,0.12903225806451613,0.13725490196078433,0.6140350877192982,0.5517241379310345
2021-04-16,0.0,0.14052287581699346,0.4736842105263157,0.5344827586206897
2021-04-21,0.0,0.1437908496732026,0.5438596491228069,0.5344827586206897
2021-04-23,0.0,0.14705882352941177,0.5438596491228069,0.5344827586206897
2021-04-27,0.0,0.1503267973856209,0.5438596491228069,0.15517241379310343
2021-05-03,0.0,0.15359477124183007,0.5438596491228069,0.15517241379310343
2021-05-04,0.0,0.1568627450980392,0.5438596491228069,0.15517241379310343
2021-05-17,0.0,0.16013071895424838,0.5438596491228069,0.08620689655172413
2021-06-18,0.0,0.16339869281045752,0.5438596491228069,0.08620689655172413
2021-06-24,0.0,0.16666666666666666,0.5438596491228069,0.08620689655172413
2021-06-29,0.0,0.16993464052287582,0.5438596491228069,0.08620689655172413
2021-07-09,0.0,0.17320261437908496,0.5438596491228069,0.08620689655172413
