Tgl. Mohon,count,cumulative_sum,rolling_7days,rolling_count_7d,delta_count,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2021-02-15,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-04-26,0.0,0.017543859649122806,0.1111111111111111,0.16666666666666666,0.5,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2021-05-05,0.0,0.03508771929824561,0.2222222222222222,0.33333333333333337,0.5,0.36363636363636365,0.4,0.75,0.06698729810778065,1.0,0.3568958678922095
2021-06-11,0.0,0.05263157894736842,0.3333333333333333,0.5,0.5,0.4545454545454545,0.8,0.5000000000000001,0.0,0.27747906604368566,0.0
2021-06-25,0.0,0.07017543859649122,0.4444444444444445,0.6666666666666666,0.5,0.4545454545454545,0.8,0.5000000000000001,0.0,0.27747906604368566,0.0
2021-08-02,0.0,0.08771929824561403,0.5555555555555556,0.8333333333333334,0.5,0.6363636363636364,0.0,0.06698729810778076,0.24999999999999978,0.5,1.0
2021-09-03,0.0,0.10526315789473684,0.6666666666666665,0.9999999999999999,0.5,0.7272727272727273,0.8,0.0,0.4999999999999999,0.27747906604368566,0.0
2021-09-10,0.0,0.12280701754385964,0.6666666666666665,0.9999999999999999,0.5,0.7272727272727273,0.8,0.0,0.4999999999999999,0.27747906604368566,0.0
2021-09-20,0.0,0.14035087719298245,0.6666666666666665,0.9999999999999999,0.5,0.7272727272727273,0.0,0.0,0.4999999999999999,0.5,1.0
2021-12-08,0.0,0.15789473684210525,0.6666666666666665,0.9999999999999999,0.5,0.9999999999999999,0.4,0.4999999999999999,1.0,1.0,0.3568958678922095
2021-12-20,0.0,0.17543859649122806,0.6666666666666665,0.9999999999999999,0.5,0.9999999999999999,0.0,0.4999999999999999,1.0,0.5,1.0
2022-01-05,0.0,0.19298245614035087,0.6666666666666665,0.9999999999999999,0.5,0.0,0.4,0.75,0.9330127018922194,1.0,0.3568958678922095
2022-01-10,0.0,0.21052631578947367,0.6666666666666665,0.9999999999999999,0.5,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2022-01-12,0.0,0.22807017543859648,0.6666666666666665,0.9999999999999999,0.5,0.0,0.4,0.75,0.9330127018922194,1.0,0.3568958678922095
2022-01-14,0.0,0.24561403508771928,0.6666666666666665,0.9999999999999999,0.5,0.0,0.8,0.75,0.9330127018922194,0.27747906604368566,0.0
2022-01-20,0.0,0.2631578947368421,0.6666666666666665,0.9999999999999999,0.5,0.0,0.6000000000000001,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2022-01-24,1.0,0.2982456140350877,0.7777777777777777,0.9999999999999999,1.0,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
