Tgl. Mohon,count,cumulative_sum,rolling_7days,delta_count,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2021-01-05,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2021-01-06,0.0,0.003115264797507788,0.05,0.3333333333333333,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-07,0.16666666666666666,0.009345794392523364,0.15000000000000002,0.4444444444444444,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-09,0.0,0.012461059190031152,0.2,0.2222222222222222,0.0,0.8333333333333333,0.75,0.9330127018922194,0.0,0.3568958678922094
2021-01-11,0.0,0.015576323987538939,0.25000000000000006,0.3333333333333333,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2021-01-12,0.0,0.018691588785046728,0.30000000000000004,0.3333333333333333,0.0,0.16666666666666666,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2021-01-13,0.16666666666666666,0.024922118380062305,0.4,0.4444444444444444,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-14,0.0,0.028037383177570093,0.4,0.2222222222222222,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-15,0.0,0.031152647975077878,0.4,0.3333333333333333,0.0,0.6666666666666666,0.75,0.9330127018922194,0.27747906604368566,0.0
2021-01-16,0.0,0.03426791277258567,0.35000000000000003,0.3333333333333333,0.0,0.8333333333333333,0.75,0.9330127018922194,0.0,0.3568958678922094
2021-01-18,0.0,0.037383177570093455,0.35000000000000003,0.3333333333333333,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2021-01-19,0.16666666666666666,0.04361370716510903,0.4,0.4444444444444444,0.0,0.16666666666666666,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2021-01-20,0.16666666666666666,0.04984423676012461,0.45,0.3333333333333333,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-21,0.16666666666666666,0.056074766355140186,0.45,0.3333333333333333,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-22,0.0,0.059190031152647975,0.45,0.2222222222222222,0.0,0.6666666666666666,0.75,0.9330127018922194,0.27747906604368566,0.0
2021-01-25,0.0,0.062305295950155756,0.45,0.3333333333333333,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2021-01-26,0.0,0.06542056074766354,0.45,0.3333333333333333,0.0,0.16666666666666666,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384
2021-01-27,0.0,0.06853582554517133,0.45,0.3333333333333333,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-28,0.33333333333333337,0.0778816199376947,0.5,0.5555555555555556,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-30,0.16666666666666666,0.08411214953271028,0.5,0.2222222222222222,0.0,0.8333333333333333,0.75,0.9330127018922194,0.0,0.3568958678922094
2021-01-31,0.0,0.08722741433021806,0.45,0.2222222222222222,0.0,1.0,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383
2021-02-01,0.0,0.09034267912772585,0.45,0.3333333333333333,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-02-03,0.0,0.09345794392523364,0.45,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.9330127018922193,0.75,1.0,0.3568958678922095
2021-02-06,0.16666666666666666,0.09968847352024922,0.5,0.4444444444444444,0.09090909090909091,0.8333333333333333,0.9330127018922193,0.75,0.0,0.3568958678922094
2021-02-08,0.0,0.102803738317757,0.5,0.2222222222222222,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-02-09,0.0,0.1059190031152648,0.4,0.3333333333333333,0.09090909090909091,0.16666666666666666,0.9330127018922193,0.75,0.9009688679024191,0.8019377358048384
2021-02-11,0.16666666666666666,0.11214953271028037,0.4,0.4444444444444444,0.09090909090909091,0.5,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2021-02-13,0.33333333333333337,0.12149532710280374,0.5,0.4444444444444444,0.09090909090909091,0.8333333333333333,0.9330127018922193,0.75,0.0,0.3568958678922094
2021-02-16,0.0,0.12461059190031151,0.5,0.1111111111111111,0.09090909090909091,0.16666666666666666,0.9330127018922193,0.75,0.9009688679024191,0.8019377358048384
2021-02-17,0.0,0.1277258566978193,0.5,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.9330127018922193,0.75,1.0,0.3568958678922095
2021-02-18,0.0,0.1308411214953271,0.45,0.3333333333333333,0.09090909090909091,0.5,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2021-02-19,0.0,0.13395638629283488,0.45,0.3333333333333333,0.09090909090909091,0.6666666666666666,0.9330127018922193,0.75,0.27747906604368566,0.0
2021-02-22,0.0,0.13707165109034267,0.45,0.3333333333333333,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-02-25,0.0,0.14018691588785046,0.4,0.3333333333333333,0.09090909090909091,0.5,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2021-02-26,0.0,0.14330218068535824,0.30000000000000004,0.3333333333333333,0.09090909090909091,0.6666666666666666,0.9330127018922193,0.75,0.27747906604368566,0.0
2021-02-28,0.0,0.14641744548286603,0.30000000000000004,0.3333333333333333,0.09090909090909091,1.0,0.9330127018922193,0.75,0.0990311320975808,0.8019377358048383
