"(p,q,P,Q)",AIC
"(11, 0, 0, 0)",4180.0593011800465
"(12, 0, 0, 0)",4180.96476865923
"(9, 0, 0, 0)",4186.501418230454
"(10, 0, 0, 0)",4186.528353414583
"(8, 0, 0, 0)",4193.222970502153
"(7, 0, 0, 0)",4197.87019437982
"(6, 0, 0, 0)",4214.52485906881
"(5, 0, 0, 0)",4259.886874055737
"(4, 0, 0, 0)",4281.942055885758
"(3, 0, 0, 0)",4321.546489085698
"(2, 0, 0, 0)",4372.1495302168
"(0, 11, 0, 0)",4387.508528791359
"(0, 12, 0, 0)",4387.703662883584
"(0, 10, 0, 0)",4401.379519785651
"(0, 9, 0, 0)",4406.524298321507
"(0, 8, 0, 0)",4431.249494108798
"(0, 7, 0, 0)",4466.443035268437
"(5, 12, 0, 0)",4473.087709071015
"(0, 6, 0, 0)",4507.876352603603
"(1, 0, 0, 0)",4519.557390418635
"(0, 5, 0, 0)",4552.030852896012
"(0, 4, 0, 0)",4572.743737816829
"(0, 3, 0, 0)",4643.325008890597
"(0, 2, 0, 0)",4749.761932746071
"(0, 1, 0, 0)",4936.468072115229
"(0, 0, 0, 0)",5318.996810419863
