"(p,q,P,Q)",AIC
"(2, 2, 3, 1)",200.7309500974975
"(3, 2, 1, 2)",200.77359021217356
"(1, 3, 2, 3)",200.7893708419641
"(3, 2, 3, 0)",200.81909347729427
"(3, 2, 0, 3)",200.94826435847756
"(3, 2, 2, 2)",200.98420274882466
"(3, 2, 1, 0)",200.9865083339698
"(0, 2, 3, 3)",200.9961683009573
"(0, 3, 3, 2)",201.02334975738216
"(3, 2, 2, 1)",201.02978040603946
"(1, 1, 3, 3)",201.03052835848766
"(3, 1, 1, 0)",201.0390250640774
"(2, 1, 2, 3)",201.0421645659767
"(0, 3, 2, 3)",201.09292240564042
"(1, 2, 2, 3)",201.1579075961338
"(2, 1, 3, 2)",201.2046140919455
"(3, 3, 3, 1)",201.2647701136005
"(3, 1, 3, 1)",201.29707317356912
"(2, 2, 2, 3)",201.33406535530568
"(2, 2, 3, 2)",201.3768530192422
"(3, 1, 2, 3)",201.45621505124683
"(1, 3, 3, 3)",201.6688724523871
"(3, 1, 3, 2)",201.7618293454403
"(3, 2, 1, 3)",201.8324913832824
"(1, 2, 3, 3)",202.0993739579608
"(3, 3, 3, 2)",202.34359351074886
"(3, 2, 3, 1)",202.72809139941333
"(0, 3, 3, 3)",202.7406112482937
"(2, 1, 3, 3)",202.90110580316613
"(2, 2, 3, 3)",203.12351516856705
"(3, 3, 2, 3)",203.20841736157607
"(3, 2, 3, 2)",203.37898216120246
"(3, 2, 2, 3)",203.6230933337508
"(3, 1, 3, 3)",203.7234471730627
"(3, 3, 3, 3)",204.51815928559898
"(3, 2, 3, 3)",205.1157617254003
"(3, 3, 0, 0)",210.5569735818055
"(0, 1, 0, 0)",211.81011775322094
"(1, 2, 0, 0)",212.5439758110947
"(2, 3, 0, 0)",212.58121489604716
"(2, 2, 0, 0)",212.63903110399295
"(0, 2, 0, 0)",212.7938031138098
"(0, 3, 0, 0)",212.94608466859896
"(1, 1, 0, 0)",213.0691014583575
"(2, 1, 0, 0)",213.5450695883622
"(3, 2, 0, 0)",214.22387695273312
"(3, 1, 0, 0)",214.3789709397696
"(1, 3, 0, 0)",214.87207529576494
"(3, 0, 0, 1)",218.84145107738723
"(3, 0, 0, 2)",220.33044962253936
"(3, 0, 1, 1)",220.34240417664202
"(3, 0, 2, 0)",220.42914304005402
"(2, 0, 0, 1)",221.44034471117715
"(3, 0, 1, 2)",221.94282148330853
"(3, 0, 2, 1)",222.16668481145612
"(2, 0, 1, 1)",222.1841397220483
"(3, 0, 3, 0)",222.2766203976818
"(2, 0, 0, 2)",222.30267969543831
"(3, 0, 0, 3)",222.30399864515815
"(3, 0, 2, 2)",222.527982083429
"(3, 0, 1, 3)",222.863850714854
"(2, 0, 2, 0)",223.11307210315732
"(3, 0, 3, 1)",223.4423352970215
"(2, 0, 0, 3)",224.02853035869137
"(2, 0, 2, 1)",224.18393302871232
"(2, 0, 1, 2)",224.18407537969313
"(3, 0, 2, 3)",224.32520939939585
"(3, 0, 3, 2)",224.3714484438256
"(3, 0, 1, 0)",224.3777584796078
"(2, 0, 2, 2)",224.4902389659175
"(2, 0, 3, 0)",224.7966616745924
"(2, 0, 3, 1)",225.7772539499827
"(2, 0, 1, 3)",225.88029428617148
"(3, 0, 3, 3)",226.21755417706578
"(2, 0, 1, 0)",226.31189152688583
"(2, 0, 3, 2)",226.36749613861306
"(2, 0, 2, 3)",226.72385597226494
"(2, 0, 3, 3)",228.10119350297035
"(1, 0, 0, 1)",228.89670361361496
"(1, 0, 0, 2)",229.02575553069732
"(1, 0, 1, 1)",229.08392689930267
"(1, 0, 2, 0)",230.10732346006623
"(1, 0, 2, 1)",230.80609803901788
"(1, 0, 0, 3)",230.92418910611153
"(1, 0, 1, 2)",230.98174429484976
"(1, 0, 3, 0)",231.29855637804675
"(1, 0, 2, 2)",231.61620020738704
"(1, 0, 1, 3)",232.07623919311305
"(1, 0, 3, 1)",232.42587070296796
"(1, 0, 2, 3)",233.51534453963538
"(1, 0, 3, 2)",233.6098734298137
"(1, 0, 3, 3)",235.4944446731687
"(1, 0, 1, 0)",236.09610764750647
"(3, 0, 0, 0)",237.67299646497943
"(2, 0, 0, 0)",244.16220130950893
"(1, 0, 0, 0)",254.52514475981033
"(0, 0, 0, 1)",254.82256073631828
"(0, 0, 0, 2)",256.0001981311758
"(0, 0, 1, 1)",256.17974884866106
"(0, 0, 2, 1)",257.21796883855484
"(0, 0, 1, 2)",257.55124150131337
"(0, 0, 2, 2)",257.66877534097193
"(0, 0, 1, 3)",257.80029682115014
"(0, 0, 3, 0)",257.8223388007631
"(0, 0, 0, 3)",257.85016213196053
"(0, 0, 2, 0)",257.9137137979716
"(0, 0, 3, 1)",258.742871313063
"(0, 0, 2, 3)",259.65109864725946
"(0, 0, 3, 2)",260.5326646979472
"(0, 0, 3, 3)",261.57124746163527
"(0, 0, 1, 0)",265.3691460309349
"(0, 0, 0, 0)",278.09126236057205
