"(p,q,P,Q)",AIC
"(3, 2, 3, 3)",591.6758694373937
"(3, 3, 3, 3)",592.0221956599122
"(2, 3, 0, 1)",592.1480372286686
"(0, 1, 3, 0)",592.4918717482218
"(0, 3, 3, 0)",593.0641648515084
"(2, 1, 3, 0)",593.0931213759019
"(0, 1, 2, 0)",593.1581608612271
"(0, 3, 2, 0)",593.2857305940911
"(2, 1, 2, 0)",593.4126178267124
"(1, 3, 3, 0)",594.031473365895
"(1, 3, 2, 0)",594.1128278641991
"(2, 2, 3, 0)",594.3974646744452
"(2, 2, 2, 0)",594.4293589962829
"(2, 3, 3, 0)",594.4408902209486
"(3, 1, 3, 0)",594.7267181491907
"(1, 2, 3, 0)",594.7497158801577
"(3, 1, 2, 0)",594.8519960121537
"(2, 3, 2, 0)",595.1594166640143
"(1, 2, 2, 0)",595.2158087705069
"(3, 2, 3, 0)",595.9128839477155
"(3, 3, 2, 0)",595.9741470765096
"(3, 2, 2, 0)",596.0698239887845
"(3, 3, 3, 0)",597.8670675621352
"(0, 2, 1, 0)",609.0498534889991
"(1, 1, 1, 0)",609.135472839008
"(0, 1, 1, 0)",610.0444648996502
"(2, 2, 1, 0)",610.5742009266633
"(1, 3, 1, 0)",610.5826275960967
"(1, 2, 1, 0)",610.6456025522098
"(3, 3, 1, 0)",610.6515164480477
"(2, 1, 1, 0)",611.0081767388155
"(0, 3, 1, 0)",611.0453453921107
"(2, 3, 1, 0)",612.4531536241515
"(3, 1, 1, 0)",612.8639257736749
"(3, 2, 1, 0)",614.6145898528387
"(3, 0, 1, 1)",625.2116982910957
"(3, 0, 0, 2)",625.6461789036291
"(3, 0, 0, 1)",625.8610887785792
"(3, 0, 3, 1)",625.8949654918215
"(3, 0, 3, 2)",625.9418518071079
"(3, 0, 0, 3)",626.0720817789618
"(3, 0, 2, 3)",626.6093044010875
"(3, 0, 2, 1)",626.8164442695016
"(3, 0, 1, 2)",627.1367368690326
"(3, 0, 2, 2)",627.3759232572894
"(3, 0, 3, 3)",627.8859909637752
